target_d,method,variable,station_id,zone,mae,rmse,smape,hit10,total_relative_error,share_l1
7,base2,combined,S004,Educational (文教科研区),1.8333333333333333,2.362907813126304,0.4784974513469684,0.3333333333333333,0.09271523178807947,0.15835172921265633
7,model,borrow,S004,Educational (文教科研区),1.0,1.3844373104863459,0.16249870027139285,0.7083333333333334,0.02575107296137339,0.09794027331334067
7,model,return,S004,Educational (文教科研区),2.125,3.0754403478743226,0.5726887670712236,0.4166666666666667,0.12272727272727273,0.24166359955833638
7,model,combined,S004,Educational (文教科研区),1.5625,2.384848003542364,0.3675937336713082,0.5625,0.0728476821192053,0.1575232333142561
7,base1,borrow,S005,Educational (文教科研区),1.375,1.9685019685029528,0.3446924297839629,0.5833333333333334,0.04247104247104247,0.1444015444015444
7,base1,return,S005,Educational (文教科研区),1.375,2.188987589427283,0.27363016321658135,0.5416666666666666,0.053061224489795916,0.1401676949849707
7,base1,combined,S005,Educational (文教科研区),1.375,2.0816659994661326,0.3091612965002722,0.5625,0.047619047619047616,0.14303751803751802
7,base2,borrow,S005,Educational (文教科研区),1.4166666666666667,1.7559422921421233,0.46818911355333936,0.5833333333333334,0.03088803088803089,0.12302911904505526
7,base2,return,S005,Educational (文教科研区),2.0416666666666665,2.5900450446533423,0.5889610944912241,0.3333333333333333,0.004081632653061225,0.19923051187688184
7,base2,combined,S005,Educational (文教科研区),1.7291666666666667,2.212653007891959,0.5285751040222818,0.4583333333333333,0.017857142857142856,0.16060606060606059
7,model,borrow,S005,Educational (文教科研区),1.25,1.7795130420052185,0.3309579437506263,0.625,0.023166023166023165,0.12553361987324252
7,model,return,S005,Educational (文教科研区),1.4166666666666667,2.160246899469287,0.2765282868043601,0.5416666666666666,0.04081632653061224,0.1427771108443377
7,model,combined,S005,Educational (文教科研区),1.3333333333333333,1.9790570145063195,0.3037431152774932,0.5833333333333334,0.031746031746031744,0.13528693528693525
7,base1,borrow,S006,Educational (文教科研区),1.375,2.071633815776009,0.42375288670887,0.5833333333333334,0.028112449799196786,0.13472640562248994
7,base1,return,S006,Educational (文教科研区),1.875,2.622022120425379,0.4730130288841723,0.4166666666666667,0.01171875,0.17981101778656122
7,base1,combined,S006,Educational (文教科研区),1.625,2.362907813126304,0.4483829577965211,0.5,0.007920792079207921,0.1555603104514774
7,base2,borrow,S006,Educational (文教科研区),0.9166666666666666,1.224744871391589,0.4134047500370917,0.6666666666666666,0.008032128514056224,0.09305748891982268
7,base2,return,S006,Educational (文教科研区),1.6666666666666667,2.217355782608345,0.5648812251901496,0.4583333333333333,0.046875,0.14818135245901637
7,base2,combined,S006,Educational (文教科研区),1.2916666666666667,1.7911821050170564,0.4891429876136208,0.5625,0.019801980198019802,0.12169216921692172
7,model,borrow,S006,Educational (文教科研区),1.2083333333333333,1.7677669529663689,0.40837041402416613,0.625,0.028112449799196786,0.11910140562248994
7,model,return,S006,Educational (文教科研区),1.7916666666666667,2.5413251136628174,0.46492585067814857,0.5,0.01171875,0.1711647727272727
7,model,combined,S006,Educational (文教科研区),1.5,2.188987589427283,0.4366481323511573,0.5625,0.007920792079207921,0.14377249119803925
7,base1,borrow,S007,Educational (文教科研区),1.375,1.9039432764659772,0.2858935434850766,0.5,0.00390625,0.13013740272373542
7,base1,return,S007,Educational (文教科研区),1.625,2.3540744819709225,0.38587859168475114,0.4583333333333333,0.07806691449814127,0.14911859935244032
7,base1,combined,S007,Educational (文教科研区),1.5,2.140872096444188,0.33588606758491385,0.4791666666666667,0.0380952380952381,0.1449127769919849
7,base2,borrow,S007,Educational (文教科研区),1.125,1.3070322617798436,0.44879316533397384,0.5833333333333334,0.01953125,0.10056648406374502
7,base2,return,S007,Educational (文教科研区),1.7083333333333333,2.207940216581962,0.38719453671914744,0.375,0.09293680297397769,0.12840514351880067
7,base2,combined,S007,Educational (文教科研区),1.4166666666666667,1.8142950880897701,0.41799385102656067,0.4791666666666667,0.05714285714285714,0.11544011544011543
7,model,borrow,S007,Educational (文教科研区),1.3333333333333333,1.8257418583505538,0.28307303066456385,0.5,0.0,0.125
7,model,return,S007,Educational (文教科研区),1.625,2.3003622903070435,0.38399025014123717,0.4583333333333333,0.07806691449814127,0.14105408322340807
7,model,combined,S007,Educational (文教科研区),1.4791666666666667,2.0766559657295187,0.3335316404029005,0.4791666666666667,0.04,0.14095238095238094
7,base1,borrow,S008,Educational (文教科研区),1.75,2.5,0.3684936950224467,0.4583333333333333,0.025,0.1888888888888889
7,base1,return,S008,Educational (文教科研区),1.9166666666666667,2.753785273643051,0.44236905362775064,0.4166666666666667,0.008403361344537815,0.19804871100982768
7,base1,combined,S008,Educational (文教科研区),1.8333333333333333,2.6299556396765835,0.40543137432509874,0.4375,0.016736401673640166,0.1935012908394908
7,base2,borrow,S008,Educational (文教科研区),1.625,1.9472202409246537,0.43988614744795473,0.3333333333333333,0.04583333333333333,0.1520916334661355
